Textos_espanol,sdg
"Por el contrario, las enfermedades infecciosas plantean amenazas potencialmente globales, por lo que los beneficios de la genomica para el control de las enfermedades infecciosas pueden percibirse tanto a escala mundial como local. Entretanto, los paises mas ricos parecen mas inclinados a invertir en lineas de investigacion y desarrollo genomico que les orientan principalmente hacia asuntos internos, y que ofrecen menos incentivos para colaborar internacionalmente en la investigacion y la aplicacion. Por otra parte, los resultados solo representan una instantanea de un campo en rapido desarrollo, a fecha de verano de 2012.",3
"En Noruega, una revision de los servicios comunitarios de salud mental revelo que, en general, los medicos de familia son considerados como socios competentes, implicados y accesibles por los trabajadores comunitarios de salud mental (Slettebak et al., Esta es una buena base sobre la que Noruega deberia construir. Sin embargo, dado que es probable que los medicos de cabecera sigan estando a la vanguardia del diagnostico y el tratamiento de los trastornos leves a moderados, existe una necesidad continua de garantizar una atencion de alta calidad para los trastornos mentales. La disponibilidad de formacion en TCC y los reembolsos a los medicos de cabecera que imparten TCC constituyen un avance interesante. ",3
"La consolidacion prevista en el sector municipal ofrecera oportunidades para una mejor coordinacion entre los municipios mas grandes y el Seguro Nacional de Salud. Es preocupante que el aumento de los insumos no se refleje en un aumento del volumen de servicios sanitarios producidos. Sin embargo, se han observado tendencias similares en otros paises y, en cierta medida, pueden reflejar dificultades a la hora de medir los insumos y los productos y de ajustar las mejoras de la calidad de la asistencia sanitaria (Hardie et al., ",3
"Hay datos que indican que la ubicacion conjunta en centros sanitarios multidisciplinares facilita la colaboracion y la integracion, y garantiza un uso mas eficiente de los recursos y las competencias (Reed et al., Los equipos multidisciplinares de las consultas, con infraestructuras clinicas, informaticas y otras infraestructuras de apoyo, son capaces de ofrecer una gama mas amplia de servicios para satisfacer las necesidades de atencion cronica de forma coordinada (Goodwin et al., Varios estudios nacionales sobre la influencia del tamano de la consulta en los procesos asistenciales y los resultados muestran que las consultas mas grandes obtienen mejores resultados en cuanto a la gama y la calidad de los servicios y la gestion de la seguridad (Wensing et al.,",3
"Hoy en dia, practicamente todos los hospitales de atencion secundaria y la mayoria de los servicios de atencion de dia de los hospitales se financian en su totalidad con los GRD. La expectativa es que esto estimule la productividad hospitalaria, ya que al aumentar el numero de episodios de atencion se reparten los costos fijos entre un mayor numero de pacientes y se fomenta el desarrollo de procedimientos de estancia diurna en lugar de las admisiones de pacientes hospitalizados. Esto tiene por objeto apoyar la atencion terciaria altamente especializada, independientemente de la propiedad del proveedor, pero tambien puede estar distorsionando la distribucion de los recursos.",3
Los resultados de los modelos de costos de atencion de la salud se utilizan para pronosticar los gastos de salud futuros en funcion de las caracteristicas y el estado de salud de la futura poblacion anciana proyectada de los otros dos componentes del modelo FEM. Los gastos per capita tambien se calculan para cada una de estas cuatro categorias de pago. Todos los gastos proyectados son en terminos reales que corresponden a dolares de 1998.,3
"El papel de los seguros sanitarios privados es insignificante. La atencion primaria se financia en gran parte mediante capitacion, con ajustes por edad y ubicacion rural, mas una parte menor de pago por servicio y pagos relacionados con el rendimiento para areas de atencion prioritarias especificas, en particular las enfermedades cronicas. La atencion ambulatoria se financia mediante el pago por caso y el pago por servicio para pruebas diagnosticas, mientras que la atencion hospitalaria se financia en gran medida mediante el pago por caso (DRG).",3
"El sesgo hacia la medicina y la intervencion occidentales puede resultar ofensivo o inapropiado para los practicantes de la medicina tradicional. Es dificil encontrar personal sanitario que hable y entienda las lenguas indigenas, y la mala comunicacion entre proveedores y clientes a todos los niveles compromete el acceso a una atencion de calidad. Asi pues, como los sistemas sanitarios estatales no incorporan el concepto indigena de salud ni trabajan en armonia con los sistemas sanitarios tradicionales, las comunidades indigenas quedan marginadas y persisten las disparidades sanitarias entre las poblaciones indigenas y no indigenas. Sin embargo, hay pocos esfuerzos que aborden el VIH/SIDA entre los pueblos indigenas. Sin embargo, los tratamientos tradicionales contra el VIH estan muy extendidos en las comunidades indigenas y, si se reconocen y apoyan, son practicas prometedoras para combatir la enfermedad entre todas las poblaciones.",3
"Tambien promueve mejoras en la prevencion, el diagnostico, el tratamiento y la rehabilitacion de enfermedades especificas. La construcciA3n y renovaciA3n representan alrededor del 30% del presupuesto total. Al mismo tiempo, los gobiernos regionales deben desarrollar programas regionales dirigidos a alcanzar los objetivos del ""concepto demografico"" (plan de accion) antes mencionado y deben transmitir informacion sobre fertilidad, morbilidad, etc. Tambien cofinancian con cargo a los presupuestos regionales una serie de programas federales especificos. Inicialmente, este programa cubria a 15,9 millones de empleados del sector publico y a 10,9 millones de personas que trabajan en empleos con condiciones laborales nocivas o peligrosas (Sheiman y Shishkin, 2010).",3
"Belgica implemento servicios integrales para dejar de fumar y tambien se implementaron politicas libres de humo (OMS, 2015). Como en muchos otros paises, se lanzaron campanas en los medios de comunicacion para promover el objetivo de '5 al dia' para el consumo de frutas y verduras. Belgica impuso un impuesto sobre las bebidas azucaradas en 2016, como es el caso de Francia y Finlandia, pero abandono el impuesto sobre el azucar en los productos alimenticios.",3
"El consumo de tabaco, que es en parte responsable de la tasa de mortalidad por cancer de pulmon mas alta del mundo entre los hombres hungaros, ha disminuido notablemente desde mediados de la decada de 1990, pero se mantiene en un nivel alto, superando el promedio de la OCDE. Recientemente, el gobierno ha tomado medidas para reducir el consumo de tabaco y alcohol aumentando los impuestos especiales en noviembre de 2011 e introduciendo una prohibicion de fumar en lugares publicos, a partir del 1 de enero de 2012. Alrededor de dos tercios de los hombres hungaros y la mitad de las mujeres tienen sobrepeso o son obesos. (Figura 4.2). La hipertension arterial afecta a cerca del 30% de las personas de 25 a 64 anos y la diabetes tipo dos afecta aproximadamente al 10% de la poblacion (HCSO, 2009).",3
"A partir de 2012, algunos servicios hospitalarios estan sujetos a un descuento directo del 80 %, lo que desalienta fuertemente la provision mas alla de los limites de gasto. En principio, este proceso de negociacion agrega un elemento util basado en el mercado al sistema de atencion de la salud. Sin embargo, esto se ve algo comprometido por el numero limitado de ""actores del mercado"" en ambos lados, especialmente porque la integracion vertical de Clalit significa que realmente no participa en este proceso.",3
"La falta de programas completos de acreditacion para la atencion primaria es una de las principales deficiencias de la Republica Checa, Italia, Japon, Corea, Noruega y Suecia. Noruega, por ejemplo, solo realiza auditorias planificadas y basadas en el riesgo en atencion primaria. En cambio, Australia, Inglaterra y Portugal siguen otro camino ampliando la acreditaciA3n al sector de la atenciA3n primaria y comunitaria. En particular, el planteamiento de Inglaterra sobre la acreditaciA3n de los servicios sanitarios estA! a la vanguardia de los esfuerzos de la OCDE, y es un modelo a imitar por otros sistemas sanitarios (vA(c)ase el estudio de caso 11). Es inusualmente amplio, ya que acredita a todos los proveedores de atencion primaria y social (OCDE, 2016a).",3
"Junto con los desafios del acceso a las tecnologias de la salud para hacer frente a la carga de las enfermedades transmisibles, los paises de ingresos bajos y medianos tambien se enfrentan cada vez mas a la creciente carga de las enfermedades no transmisibles. Sin embargo, los tratamientos patentados mas nuevos a menudo tienen etiquetas de precios que no son asequibles para la gran mayoria de los pacientes en paises de ingresos bajos y medios. Echando un vistazo mas de cerca al creciente interes en los nichos de mercado y la medicina personalizada"", World Medical and Health Policy, vol.",3
"Los estilos de vida ayudan a explicar las variaciones en ECV y diabetes en los paises de la OCDE. El Capitulo 2 analiza la promocion de la salud y la contribucion de la salud publica para mantener estilos de vida saludables en los paises de la OCDE. Examina las tendencias recientes en la obesidad, el consumo de tabaco y alcohol y el ejercicio fisico. Este capitulo describe las politicas que los sistemas de salud han introducido recientemente para combatir los estilos de vida poco saludables, como el consumo de tabaco y el alto consumo de sal, y para promover la actividad fisica en adultos y ninos a fin de reducir el sobrepeso y la obesidad.",3
"En un intento por volverse mas autosuficiente, Australia tambien se ha esforzado por aumentar la cantidad de medicos capacitados localmente y ha brindado incentivos para que los medicos se trasladen a areas de necesidad. Otras palancas politicas con las que Australia ha experimentado incluyen la delegacion de tareas entre los profesionales de la salud y el uso de tecnologia para facilitar el acceso a los servicios de salud para las personas en las partes mas remotas del pais. Hay en promedio tres australianos por cada kilometro cuadrado de tierra, una densidad similar a la de Islandia y Canada (OCDE, 2009). Como resultado, la concentracion espacial de la poblacion en Australia es la mas alta de la OCDE: casi dos tercios de la poblacion vive en el 10% de las regiones con mayor poblacion.",3
"Para garantizar que el aumento de los recursos no se desperdicie sino que se traduzca en mejores resultados de salud, al mismo tiempo se debe priorizar una mayor eficiencia del sistema de salud. Sin eliminar este tope, o realizar una revision del gasto y la eficiencia del sector de la salud, sera dificil aumentar sustancialmente los recursos del sistema de salud en un corto periodo de tiempo. Muchos otros paises de la OCDE, como Francia o el Reino Unido, realizan revisiones periodicas del gasto que permiten un enfoque mas receptivo al desarrollo de los servicios publicos, al mismo tiempo que controlan el gasto.",3
"Tambien consideramos como se puede desarrollar aun mas el sector de atencion primaria calificada de Suecia para mejorar la calidad y la coordinacion de la atencion para la poblacion sueca. El uso de dichos datos por parte de la OCDE es sin perjuicio del estado de los Altos del Golan, Jerusalen Este y los asentamientos israelies en Cisjordania segun los terminos del derecho internacional. Estas presiones del lado de la demanda, sumadas a las limitaciones financieras sin precedentes que enfrentan la mayoria de los paises, son desafios importantes para el sistema de salud sueco para brindar atencion de alta calidad y satisfacer las crecientes expectativas de los pacientes. La necesidad concomitante de servicios que esten bien coordinados, tanto dentro como entre la atencion sanitaria y social, y que cubran todo el espectro de servicios, desde la prevencion y el diagnostico precoz hasta el tratamiento de enfermedades establecidas, la prestacion de atencion sanitaria y social a largo plazo, y servicios para cuidados paliativos, es un desafio adicional para el sector de atencion primaria sueco.",3
"Sin embargo, el establecimiento de un sistema formal de evaluacion de las tecnologias sanitarias ayudaria a determinar que productos farmaceuticos deberian estar cubiertos. Varios de estos retos han estado presentes desde la misma creacion del sistema a principios de los anos noventa. Sin embargo, no existe una vision politica global que los partidos politicos de todo el espectro (y las diferentes partes interesadas del sistema sanitario) puedan suscribir. ",3
"La responsabilidad general del sector sanitario recae a nivel nacional en el Ministerio de Sanidad y Servicios Asistenciales, que determina la politica sanitaria nacional, prepara la legislacion y asigna los fondos. El Ministerio de Sanidad y Servicios Asistenciales posee cuatro Autoridades Sanitarias Regionales que son responsables de la prestacion de asistencia sanitaria especializada somatica y mental. Los 19 condados noruegos son responsables de la prestacion de los servicios de salud dental obligatorios, mientras que los 428 municipios son responsables de la atencion primaria somatica y mental, asi como de los cuidados de enfermeria.",3
"En las instituciones de atencion a largo plazo u otros servicios que brindan alojamiento o tratamiento a las personas mayores, es relativamente comun encontrar condiciones de vida deplorables o hacinamiento, o tratamientos que pueden danar la salud fisica o mental o violar otros derechos humanos basicos y libertades fundamentales con frecuencia. consecuencias irrevocables (Vasquez, 2004). Todos los residentes de instituciones tienen derechos y libertades protegidos en convenios internacionales y leyes nacionales, independientemente de que sufran discapacidades fisicas o mentales. Investigaciones recientes realizadas por el Banco Interamericano de Desarrollo (BID) y la Organizacion Panamericana de la Salud (OPS) sobre la exclusion social de las personas mayores institucionalizadas con discapacidad fisica y mental en tres paises del Cono Sur (Argentina, Chile y Uruguay) muestran una situacion heterogenea en cuanto a estos servicios. Argentina tiene la mayor proporcion de internaciones decididas por otra persona distinta de la propia persona mayor (12%), mientras que Chile tiene el mayor porcentaje de mayores ingresadas por no tener donde vivir (12%). Las personas mayores institucionalizadas en Uruguay tienen un nivel mas bajo de capacidades funcionales y mentales (45%), mientras que en Argentina el 65% de los residentes no presenta degeneracion cognitiva ni fisiologica.",3
"El objetivo HEAT ""Proporcionar un acceso mas rapido a los servicios de salud mental mediante la entrega de 18 semanas de derivacion a tratamiento para terapias psicologicas a partir de diciembre de 2014"" fue aprobado por el gobierno escoces en noviembre de 2010 y actualmente se esta implementando en las juntas de salud. El objetivo es brindar terapias psicologicas basadas en la evidencia a tiempo8 para tratar de manera eficiente y eficaz los trastornos mentales. Por ejemplo, la ""Matriz"" de Terapias Psicologicas ha sido desarrollada como una guia para ayudar a las Juntas de Salud a brindar terapias psicologicas eficientes y efectivas. Para lograr este objetivo, Matrix resume los consejos mas actualizados sobre intervenciones basadas en evidencia, brinda la capacitacion necesaria para brindar terapias seguras y efectivas e identifica las brechas clave en los servicios de salud mental. El Diagrama de Impulsores ha sido desarrollado para apoyar la implementacion de la meta en todas las actividades de la Junta de Salud. Es un metodo concebido para identificar las partes del sistema de prestacion de servicios de salud mental que deben mejorarse y luego hacer recomendaciones para cambios especificos.",3
"Vease el recuadro 1 anterior. Encontrar una forma nueva, mas eficiente o menos invasiva de administrar un farmaco conocido tambien es un caso de uso nuevo. Es importante enfatizar que un nuevo uso por definicion resulta de la misma entidad quimica, es decir, una sustancia preexistente conocida. El nuevo farmaco prescrito para el nuevo uso, por lo tanto, no modifica la estructura quimica del producto existente (como seria el caso de los derivados, que se analizan mas adelante en esta Guia). Esto es particularmente cierto en paises donde existe conocimiento de las medicinas tradicionales, y se pueden encontrar nuevas indicaciones a traves de investigaciones especificas.",3
"Para movilizarlos, es necesario colocar la adherencia a la medicacion en la agenda politica nacional, comenzando con la observacion rutinaria de la adherencia y continuando hacia el desarrollo de indicadores de desempeno y calidad de la adherencia. Dichos indicadores podrian ayudar a mejorar la eficiencia del sistema de salud al establecer e influir en la relacion entre el gasto en productos farmaceuticos y las ganancias en los resultados de salud. Mejorar la forma en que los pacientes toman sus medicamentos requiere que los profesionales de la salud esten equipados con habilidades especificas para brindar atencion en un modelo centrado en la persona en lugar de centrado en la enfermedad, es decir, que los proveedores deben buscar y comprender las necesidades, perspectivas y necesidades individuales de los pacientes. valores, transmitir a los pacientes la informacion que necesitan para participar en su atencion y generar confianza y comprension. Costos evitables en el cuidado de la salud de los EE. UU.: la oportunidad de $ 200 mil millones del uso de medicamentos de manera mas responsable.",3
"En respuesta, el Director General presento un informe ""Reforma del trabajo de la OMS en la gestion de emergencias sanitarias: Programa de Emergencias Sanitarias de la OMS"". /70/723) al Secretario General. Estos incluyen, entre otros, (a) una revision The Neglected Dimension of Global Security: A Framework to Counter Infectious Disease Crises de la Academia Nacional de Medicina (NAM),2 (b) una iniciativa conjunta de la Universidad de Harvard y la London School of Hygiene and Tropical Medicine (Moon y otros, 2015), (c) una revision de un panel independiente creado por la Fundacion Bill y Melinda Gates y (d) una revision de MSF (2015).",3
"Los objetivos de calidad y rendimiento se definen en el contrato del hospital. Casi el 5% del presupuesto hospitalario total se asigna al hospital de acuerdo con sus niveles de desempeno. Estos indicadores se relacionan con el acceso, el desempeno clinico y el desempeno economico. La Seguridad del Paciente es una de las siete prioridades estrategicas de la Estrategia Nacional para la Calidad de la Salud en Portugal, que define el desarrollo de las siguientes acciones especificas: elaboracion de directrices en el campo de la seguridad del paciente, concretamente en seguridad quirurgica y de los medicamentos, creacion de la sistema nacional de notificacion de incidentes y eventos adversos y la coordinacion de la prevencion y control de las infecciones asociadas a la atencion de la salud.",3
"La prevencion de enfermedades cronicas debe verse como un medio para mejorar el bienestar social en general. La prevencion de enfermedades cronicas puede mejorar las perspectivas de empleo, los salarios y la productividad laboral, y disminuir las licencias por enfermedad, las solicitudes de beneficios por discapacidad y la salida anticipada de la fuerza laboral. Deberian considerar invertir mas en politicas de prevencion dirigidas a las enfermedades cronicas y los factores de riesgo asociados, a fin de que la fuerza laboral sea mas saludable y productiva, lo que puede conducir a ganancias potencialmente sustanciales en la produccion economica.",3
"Identificar indicadores de rendimiento y resultados de la atencion a la salud mental. Determinar a que niveles (nacional/regional, local o individual) se dispone de datos en los nueve paises europeos. Desarrollar una estrategia para la recogida de informacion sobre indicadores de rendimiento y resultados de la calidad de la atencion a la salud mental.",3
"Dado el aumento de enfermedades cronicas como la diabetes, un enfoque que haga hincapie en la prevencion para abordar los cambiantes factores de riesgo para la salud sera clave para ayudar a reducir los ingresos hospitalarios relativamente mas caros en el futuro. Lo ideal seria que los pacientes contaran con un asesor de confianza que les ayudara a navegar por el complejo numero de servicios disponibles. El objetivo del gatekeeping es reforzar la relaciA3n entre los proveedores de atenciA3n primaria y los pacientes, mejorando asA la capacidad de estos Aoltimos para seleccionar la forma de atenciA3n mA!s adecuada.",3
"Sin embargo, su sistema se vera presionado a medida que se acelere el envejecimiento de la poblacion despues de mediados de la decada de 2020, con un fuerte aumento en la proporcion de personas mayores de 80 anos, los mayores receptores de atencion medica y de atencion a largo plazo per capita (Paneles C y D , Albouy et al., La evolucion de los precios y el progreso tecnico tambien podrian conducir a una mayor presion al alza sobre el gasto en salud (Fall et al., Las simulaciones macro y micro muestran aumentos significativos en los gastos de salud publica hasta 2060, aunque la escala del gasto adicional varia ampliamente (Cuadro 1).",3
"Clasificacion de las funciones de atencion de la salud (cont.) Un conjunto similar de servicios y bienes puede consumirse con un proposito no relacionado con la salud. Este es el caso cuando la atencion de la salud esta interrelacionada con el bienestar o con la atencion social, como los servicios medicos con un fin cosmetico no sanitario o el apoyo social como parte de la atencion a largo plazo.",3
"Esto iba en contra de los objetivos de la politica sanitaria, la eficiencia del sistema sanitario y la equidad. Su objetivo es que EOPYY pueda adquirir todos los servicios sanitarios necesarios para satisfacer las necesidades de la poblacion. Otras medidas en el ambito del diagnostico han consistido en reducir los precios pagados por el sistema sanitario publico y frenar la prescripcion excesiva de diagnosticos especializados. En 2013 se pusieron en marcha reformas estructurales para reducir el numero de camas, clinicas y unidades especializadas, pero su aplicacion ha sido limitada.",3
